date,sma_50,sma_200,phase,crossover_date
2016-06-22,177.34171966552734,171.14252136230468,1,2016-04-20
2016-06-23,177.40827545166016,171.2177500152588,1,2016-04-20
2016-06-24,177.34501251220703,171.27163032531737,1,2016-04-20
2016-06-27,177.2233251953125,171.30548263549804,1,2016-04-20
2016-06-28,177.1384197998047,171.35101943969727,1,2016-04-20
2016-06-29,177.10152648925782,171.41443000793458,1,2016-04-20
2016-06-30,177.10952392578125,171.47964752197265,1,2016-04-20
2016-07-01,177.14431091308595,171.53954109191895,1,2016-04-20
2016-07-05,177.1532354736328,171.5948551940918,1,2016-04-20
2016-07-06,177.18970397949218,171.66919990539552,1,2016-04-20
2016-07-07,177.218662109375,171.73873321533202,1,2016-04-20
2016-07-08,177.29372863769532,171.83236709594726,1,2016-04-20
