ticker,type,exchange,start_date,end_date,trading_days,file_format,last_close,avg_close,avg_volume,avg_dollar_volume,source,gcs_available,gcs_file,file_size_bytes
ATKR,us_equity,US,,,,csv,,,,,gcs,True,ATKR_full_history.csv,250007.0
ATUS,us_equity,US,2017-06-22,2025-10-17,2093.0,parquet,2.4,15.69,4573456.0,71746277.0,local,True,ATUS_full_history.csv,220189.0
AUS.DE,international,DE,1999-07-19,2025-10-17,6715.0,parquet,28.95,16.41,17905.0,293830.0,local,False,,
AXL,us_equity,US,,,,csv,,,,,gcs,True,AXL_full_history.csv,712596.0
AYEW.DE,international,DE,2019-10-24,2025-10-17,1524.0,parquet,14.14,8.73,55283.0,482481.0,local,False,,
AZTA,us_equity,US,1995-02-02,2025-10-17,7729.0,parquet,30.97,26.05,516879.0,13465266.0,local,False,,
BAK,us_equity,US,1999-01-13,2025-10-17,6733.0,parquet,2.38,13.19,321588.0,4241396.0,local,False,,
BB,us_equity,US,2006-01-10,2025-11-21,5000.0,parquet,4.17,23.55,14903123.0,351032061.0,local,False,,
BBAI,us_equity,US,,,,csv,,,,,gcs,True,BBAI_full_history.csv,117179.0
BBAR,us_equity,US,1993-11-24,2025-10-17,8029.0,parquet,9.39,11.27,291740.0,3288455.0,local,False,,
BBDC,us_equity,US,2007-02-22,2025-10-17,4695.0,parquet,8.59,14.73,249409.0,3673744.0,local,False,,
BBT,us_equity,US,2000-06-28,2025-10-17,6365.0,parquet,23.46,26.59,143127.0,3805630.0,local,False,,
BBZA.DE,international,DE,2024-01-17,2025-10-17,446.0,parquet,41.6,39.41,20332.0,801298.0,local,False,,
BCAT,us_equity,US,2020-09-25,2025-10-17,1272.0,parquet,14.44,16.76,366219.0,6139208.0,local,False,,
BCFE.DE,international,DE,2017-05-25,2025-10-17,2135.0,parquet,14.88,11.74,1831.0,21504.0,local,False,,
BCSF,us_equity,US,2018-11-15,2025-10-17,1739.0,parquet,13.89,15.22,231409.0,3521227.0,local,False,,
BDJ,us_equity,US,2005-08-30,2025-10-17,5066.0,parquet,8.95,9.07,399162.0,3619639.0,local,False,,
BELFB,us_equity,US,1998-07-10,2025-10-17,6862.0,parquet,146.11,27.34,46482.0,1270855.0,local,False,,
BFSA.DE,international,DE,2017-12-29,2025-10-17,1983.0,parquet,29.84,39.65,61142.0,2424257.0,local,False,,
BGM,us_equity,US,2021-01-12,2025-10-17,1198.0,parquet,9.18,10.14,22175.0,224893.0,local,False,,
BH,us_equity,US,1980-03-17,2025-10-17,11492.0,parquet,360.86,124.69,7138.0,890093.0,local,False,,
BIGZ,us_equity,US,2021-03-26,2025-10-17,1147.0,parquet,6.56,9.74,932428.0,9084804.0,local,False,,
BKSY,us_equity,US,2019-12-20,2025-10-17,1464.0,parquet,24.42,36.43,398596.0,14521367.0,local,False,,
BKV,us_equity,US,2024-09-26,2025-10-17,266.0,parquet,20.24,21.33,426493.0,9097758.0,local,True,BKV_full_history.csv,24650.0
BLBD,us_equity,US,2014-03-20,2025-10-17,2914.0,parquet,54.22,20.47,185818.0,3803550.0,local,True,BLBD_full_history.csv,296479.0
BLND,us_equity,US,2021-07-16,2025-10-17,1070.0,parquet,3.32,4.21,2058905.0,8672626.0,local,False,,
BMEZ,us_equity,US,2020-01-29,2025-10-17,1439.0,parquet,14.85,18.99,312369.0,5931239.0,local,False,,
BNDW,us_equity,US,2018-09-06,2025-10-17,1789.0,parquet,70.17,73.92,52344.0,3869323.0,local,False,,
BOSS.DE,international,DE,1999-01-28,2025-10-17,6837.0,parquet,41.56,45.67,171403.0,7828499.0,local,False,,
BOW,us_equity,US,2024-05-23,2025-10-17,352.0,parquet,25.48,32.08,237657.0,7623920.0,local,False,,
BSCL,us_equity,US,2013-07-16,2021-12-20,2125.0,parquet,21.04,20.98,214639.0,4503886.0,local,False,,
BSCM,us_equity,US,2013-07-16,2022-12-22,2379.0,parquet,21.16,21.07,238274.0,5020676.0,local,False,,
BSCN,us_equity,US,2014-09-16,2023-12-28,2338.0,parquet,21.19,20.96,270628.0,5673338.0,local,False,,
BSCU,us_equity,US,2020-09-18,2025-10-17,1277.0,parquet,17.01,17.33,184561.0,3197649.0,local,False,,
BST,us_equity,US,2014-10-29,2025-10-17,2759.0,parquet,41.38,32.02,115078.0,3684878.0,local,False,,
BSVO,us_equity,US,2023-03-13,2025-10-17,654.0,parquet,22.01,20.14,195842.0,3943386.0,local,False,,
BTT,us_equity,US,2012-08-30,2025-10-17,3302.0,parquet,22.54,22.13,149887.0,3316992.0,local,False,,
